,Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,timeset2018,indegree2018,outdegree2018,Degree2018,weighted indegree2018,weighted outdegree2018,Weighted Degree2018,Eccentricity2018,closnesscentrality2018,harmonicclosnesscentrality2018,betweenesscentrality2018,Authority2018,Hub2018,pageranks2018,componentnumber2018,strongcompnum2018,modularity_class2018,stat_inf_class2018,clustering2018,eigencentrality2018,timeset2019,indegree2019,outdegree2019,Degree2019,weighted indegree2019,weighted outdegree2019,Weighted Degree2019,Eccentricity2019,closnesscentrality2019,harmonicclosnesscentrality2019,betweenesscentrality2019,Authority2019,Hub2019,pageranks2019,componentnumber2019,strongcompnum2019,modularity_class2019,stat_inf_class2019,clustering2019,eigencentrality2019,timeset2020,indegree2020,outdegree2020,Degree2020,Eccentricity2020,closnesscentrality2020,harmonicclosnesscentrality2020,betweenesscentrality2020,weighted indegree2020,weighted outdegree2020,Weighted Degree2020,Authority2020,Hub2020,pageranks2020,componentnumber2020,strongcompnum2020,modularity_class2020,stat_inf_class2020,clustering2020,eigencentrality2020,timeset2021,Eccentricity2021,closnesscentrality2021,harmonicclosnesscentrality2021,betweenesscentrality2021,weighted indegree2021,weighted outdegree2021,Weighted Degree2021,indegree2021,outdegree2021,Degree2021,Authority2021,Hub2021,pageranks2021,componentnumber2021,strongcompnum2021,modularity_class2021,stat_inf_class2021,clustering2021,eigencentrality2021,timeset2022,Eccentricity2022,closnesscentrality2022,harmonicclosnesscentrality2022,betweenesscentrality2022,weighted indegree2022,weighted outdegree2022,Weighted Degree2022,indegree2022,outdegree2022,Degree2022,Authority2022,Hub2022,pageranks2022,componentnumber2022,strongcompnum2022,modularity_class2022,stat_inf_class2022,clustering2022,eigencentrality2022
0,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex Exchange ,,231,696,927,4794,74631,79425,7,0.239571,0.277219,1134283.375669,2e-06,0.002094,0.000234,0,10613,7,10,0.006795,,48,265,313,1187,50497,51684,7,0.214369,0.244239,702218.878996,8e-06,0.005874,0.001734,0,9130,33,2,0.002103,0.026217,,47,156,203,1120,3614,4734,7,0.320992,0.422612,202049.596091,2e-06,0.001958,0.001999,0,771,9,59,0.001902,0.062658,,46,120,166,7,0.298824,0.399498,180415.798293,895,4751,5646,2e-06,0.00131,0.001804,0,726,127,106,0.002775,0.058665,,8,0.221139,0.249046,242186.400835,1344,10512,11856,46,105,151,5e-06,0.000407,0.001641,0,3052,228,288,0.005032,0.023038,,2,0.837838,0.903226,3998.988491,248,5257,5505,44,50,94,1e-06,0.000311,0.002003,0,114,251,189,0.003745,0.048365
1,0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp,,0,5,5,0,266553,266553,1,1.0,1.0,0.0,0.0,0.0,2.8e-05,1,10616,6,33,0.0,,0,1,1,0,109976,109976,1,1.0,1.0,0.0,0.0,0.0,4.5e-05,1,9150,32,3,0.0,0.0,,0,1,1,0,17986,17986,1,1.0,1.0,0.0,0.0,0.0,4.6e-05,3,9062,3,52,0.0,0.0,,0,1,1,1,1.0,1.0,0.0,0,14318,14318,0.0,0.0,4.7e-05,3,8622,123,100,0.0,0.0,,1,1.0,1.0,0.0,0,92536,92536,0,1,1,0.0,0.0,4.6e-05,1,8370,240,218,0.0,0.0,,1,1.0,1.0,0.0,0,31737,31737,0,1,1,0.0,0.0,5.4e-05,1,4727,110,141,0.0,0.0
2,0xab5c66752a9e8167967685f1450532fb96d5d24f,15 M wallet,,3,322,325,12,152999,153011,1,1.0,1.0,75.256075,1e-06,0.00031,3.2e-05,0,10671,24,88,0.003048,,0,63,63,0,10601,10601,1,1.0,1.0,0.0,0.0,0.000594,4.5e-05,0,9185,33,254,0.0,0.0,,2,82,84,8,2392,2400,1,1.0,1.0,40.5,6e-06,0.000408,5.2e-05,0,8718,9,59,0.010901,0.001857,,0,74,74,1,1.0,1.0,0.0,0,46093,46093,0.0,0.000273,4.7e-05,0,8959,134,106,0.0,0.0,,1,1.0,1.0,8.796429,4,91136,91140,1,62,63,0.0,0.000316,5e-05,0,8751,0,288,0.0,0.00045,,1,1.0,1.0,0.0,0,2777,2777,0,41,41,0.0,8.8e-05,5.4e-05,0,7113,251,189,0.0,0.0
3,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,Huobi Exchange,,2,317,319,4,152902,152906,1,1.0,1.0,78.156467,0.0,0.000304,3.1e-05,0,10733,24,67,0.0,,0,63,63,0,10400,10400,1,1.0,1.0,0.0,0.0,0.000599,4.5e-05,0,9243,33,107,0.0,0.0,,0,84,84,0,4084,4084,1,1.0,1.0,0.0,0.0,0.000425,4.6e-05,0,9074,9,59,0.0,0.0,,0,74,74,1,1.0,1.0,0.0,0,46441,46441,0.0,0.000273,4.7e-05,0,8766,134,106,0.0,0.0,,1,1.0,1.0,7.763095,3,90019,90022,1,59,60,0.0,0.000311,5e-05,0,8799,0,288,0.0,0.00045,,1,1.0,1.0,12.166667,1,1958,1959,1,37,38,0.0,6.9e-05,6.5e-05,0,7112,251,189,0.0,0.00099
4,0x1062a747393198f70f71ec65a582423dba7e5ab3,Huobi 9,,1,315,316,4,153120,153124,1,1.0,1.0,37.988567,0.0,0.000308,3.1e-05,0,10735,24,134,0.0,,0,64,64,0,11787,11787,1,1.0,1.0,0.0,0.0,0.000614,4.5e-05,0,9250,33,319,0.0,0.0,,0,81,81,0,2213,2213,1,1.0,1.0,0.0,0.0,0.000397,4.6e-05,0,9093,9,59,0.0,0.0,,0,73,73,1,1.0,1.0,0.0,0,46261,46261,0.0,0.000272,4.7e-05,0,8992,134,106,0.0,0.0,,1,1.0,1.0,7.786905,4,91446,91450,1,58,59,0.0,0.000313,5e-05,0,8767,0,288,0.0,0.00045,,1,1.0,1.0,0.0,0,1413,1413,0,39,39,0.0,8.2e-05,5.4e-05,0,7287,251,189,0.0,0.0
5,0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b,huobi1,,3,315,318,6,153093,153099,1,1.0,1.0,82.809881,1e-06,0.000307,3.1e-05,0,10734,24,72,0.003095,,0,64,64,0,10758,10758,1,1.0,1.0,0.0,0.0,0.000595,4.5e-05,0,9253,33,412,0.0,0.0,,1,80,81,1,2168,2169,1,1.0,1.0,2.833333,5e-06,0.000399,4.7e-05,0,799,9,59,0.011265,0.000887,,0,73,73,1,1.0,1.0,0.0,0,47928,47928,0.0,0.00027,4.7e-05,0,8940,134,106,0.0,0.0,,1,1.0,1.0,8.096429,4,89351,89355,1,59,60,0.0,0.000316,5e-05,0,8506,0,288,0.0,0.00045,,1,1.0,1.0,12.5,1,2888,2889,1,39,40,0.0,7.6e-05,6.5e-05,0,7324,251,189,0.0,0.00099
6,0x7ed1e469fcb3ee19c0366d829e291451be638e59,Wallet App Freewallet.org,,11,296,307,568,2331,2899,7,0.427009,0.458982,19629077.077795,4e-05,0.001172,3.1e-05,0,10613,24,0,0.020981,,3,125,128,27,383,410,7,0.400134,0.429284,11494738.548341,0.000224,0.002983,8.8e-05,0,9130,39,20,0.008243,0.029057,,1,51,52,45,183,228,7,0.414497,0.451419,3537.0,1e-06,0.000829,4.9e-05,0,9442,53,59,0.005279,0.000887,,2,50,52,7,0.257775,0.307785,950.838889,105,546,651,8e-06,0.000191,4.9e-05,0,9158,127,106,0.019231,0.001995,,6,0.398008,0.437023,3496402.846875,299,752,1051,3,39,42,0.000117,0.0006,9e-05,0,3052,228,288,0.037747,0.017517,,1,1.0,1.0,20.5,92,467,559,2,31,33,3e-06,0.000301,5.6e-05,0,7229,251,189,0.037879,0.00198
7,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken Exchange ,,1,932,933,2,4422,4424,7,0.239071,0.283653,1389614.683559,1.6e-05,0.00351,3.1e-05,0,10613,4,154,0.000597,,1,314,315,2,2264,2266,7,0.214928,0.248748,510232.006906,0.000217,0.007649,6.8e-05,0,9130,29,725,0.001153,0.028152,,0,171,171,0,638,638,7,0.326699,0.419925,0.0,0.0,0.002722,4.6e-05,0,9392,118,59,0.0,0.0,,0,127,127,7,0.305894,0.394637,0.0,0,503,503,0.0,0.000504,4.7e-05,0,8923,133,106,0.0,0.0,,7,0.232627,0.279143,0.0,0,761,761,0,215,215,0.0,0.002817,4.6e-05,0,8722,228,288,6.5e-05,0.0,,4,0.576923,0.743519,0.0,0,256,256,0,105,105,0.0,0.000688,5.4e-05,0,7111,250,189,9.2e-05,0.0
8,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,Mining,,1,634,635,2,18137,18139,7,0.232901,0.260159,125607.907345,0.0,0.010689,4e-05,0,10613,27,29,0.000135,,0,32,32,0,185,185,9,0.148992,0.157036,0.0,0.0,0.00131,4.5e-05,0,9358,28,732,0.0,0.0,,0,70,70,0,4587,4587,7,0.285335,0.333309,0.0,0.0,0.002725,4.6e-05,0,8714,54,59,0.000207,0.0,,0,84,84,7,0.303925,0.360269,0.0,0,5255,5255,0.0,0.001271,4.7e-05,0,8255,127,106,0.000143,0.0,,7,0.229943,0.273819,7065.0,2,7038,7040,1,207,208,0.0,0.016517,9.3e-05,0,3530,251,288,4.7e-05,0.000494,,4,0.94382,0.97586,0.0,0,1072,1072,0,241,241,0.0,0.005656,5.4e-05,0,6651,119,189,1.7e-05,0.0
9,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Yobit Exchange,,1768,326,2094,22034,767,22801,7,0.230315,0.256142,5689455.340587,0.0,0.003692,0.002473,0,10613,27,29,2.7e-05,,401,208,609,5648,402,6050,7,0.211366,0.236118,4253277.352313,0.0,0.0088,0.015311,0,9130,28,732,3e-05,0.193297,,418,58,476,7614,264,7878,7,0.303123,0.351597,462729.267279,0.0,0.00254,0.016664,0,771,25,59,5.7e-05,0.40856,,413,42,455,7,0.294469,0.339301,392598.340114,6254,68,6322,0.0,0.001294,0.016418,0,726,0,106,5e-06,0.431967,,9,0.21839,0.230916,1371355.902102,2349,32,2381,399,17,416,0.0,0.00084,0.01559,0,3052,251,288,0.0,0.187356,,1,1.0,1.0,140.0,169,1,170,137,1,138,0.0,0.0,0.006295,0,129,113,189,0.0,0.146623
