Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering
0x8958618332df62af93053cb9c535e26462c959b0,0x8958618332df62af93053cb9c535e26462c959b0,,1,191,192,1,9663,9664,8,0.223781,0.239439,37085.320062,0.000006,0.00024,0.000028,0,10613,7,5,0.01478
0xd454ed303748bb5a433388f9508433ba5d507030,0xd454ed303748bb5a433388f9508433ba5d507030,,3,25,28,11,108,119,8,0.219302,0.228123,6729.378979,0.000033,0.000009,0.000031,0,10613,4,51,0.047619
0xddc50252a3080d5028d1c25261f78f023e9117d5,0xddc50252a3080d5028d1c25261f78f023e9117d5,,0,5,5,0,47866,47866,1,1,1,0,0,0.000002,0.000028,0,10614,5,137,0
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,"Bitfinex Exchange ",,231,696,927,4794,74631,79425,7,0.239571,0.277219,1134283.375669,0.000002,0.002094,0.000234,0,10613,7,10,0.006795
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp,,0,5,5,0,266553,266553,1,1,1,0,0,0,0.000028,1,10616,6,33,0
0x6fc9bcb6091c01d6d2a530955e633b894ae48256,0x6fc9bcb6091c01d6d2a530955e633b894ae48256,,0,6,6,0,1337,1337,1,1,1,0,0,0.000001,0.000028,0,10620,22,38,0.333333
0xe03c23519e18d64f144d2800e30e81b0065c48b5,0xe03c23519e18d64f144d2800e30e81b0065c48b5,,5,406,411,623,24122,24745,8,0.224088,0.244576,12876,0,0.00035,0.00003,0,10657,4,76,0.00872
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,,0,209,209,0,26866,26866,8,0.220821,0.234806,0,0,0.000102,0.000028,0,10670,7,79,0.01417
0x4c59e1b80ca11215c2a53b39651825663048a7ed,0x4c59e1b80ca11215c2a53b39651825663048a7ed,,5,9,14,9,40,49,1,1,1,544.478609,0.000169,0.000005,0.000037,0,606,4,50,0.087912
0xab5c66752a9e8167967685f1450532fb96d5d24f,15 M wallet,,3,322,325,12,152999,153011,1,1,1,75.256075,0.000001,0.00031,0.000032,0,10671,24,88,0.003048
0xe93381fb4c4f14bda253907b18fad305d799241a,0xe93381fb4c4f14bda253907b18fad305d799241a,,1,332,333,3,149458,149461,1,1,1,75.40831,0,0.000325,0.000031,0,10672,24,1,0
0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,,7,20,27,44,102,146,1,1,1,4284.347562,0.000047,0.00001,0.000064,0,1273,7,3,0.024217
0xf73c3c65bde10bf26c2e1763104e609a41702efe,0xf73c3c65bde10bf26c2e1763104e609a41702efe,,1,378,379,4,27648,27652,8,0.225137,0.249349,12887,0,0.000642,0.000032,0,10717,10,99,0.010596
