year,no_edges,no_nodes,density,no_self_loops,no_weakly_connected_components,largest_weakly_connected_component,no_strongly_connected_components,largest_strongly_connected_component,5_largest_degrees,5_nodes_largest_degrees,5_largest_weighted_degrees,5_nodes_largest_weighted_degrees
2018,32025,13561,0.0001741557159292688,274,73,13422,12534,944,"[1, 1, 4, 4, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[6.0, 9.0, 9.0, 8.0, 1.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2019,20259,12681,0.00012599266096947743,139,73,12535,12542,120,"[1, 1, 3, 1, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60', '0xffec26c4ff03bbaf5119b797595f7e73062cbd98']","[73.0, 12.0, 13.0, 6.0, 2.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60', '0xffec26c4ff03bbaf5119b797595f7e73062cbd98']"
2020,18665,12339,0.00012260361174409783,218,113,12141,12247,73,"[1, 1, 1, 2, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[40.0, 10.0, 1.0, 4.0, 5.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2021,20147,12500,0.00012895111608928714,1053,289,12124,12174,295,"[1, 1, 2, 3, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[26.0, 9.0, 7.0, 5.0, 6.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2022,12279,9897,0.0001253717657270043,305,217,9547,9872,5,"[1, 1, 1, 2, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xffecace3e66121b83002cd2ed82f177776d10d60', '0xffec26c4ff03bbaf5119b797595f7e73062cbd98', '0xffe3df0bb0285f9677766a0a90c3f507c6a25c04']","[5.0, 2.0, 1.0, 3.0, 1.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xffecace3e66121b83002cd2ed82f177776d10d60', '0xffec26c4ff03bbaf5119b797595f7e73062cbd98', '0xffe3df0bb0285f9677766a0a90c3f507c6a25c04']"
2018_updated,32025,15671,0.00013041376449379486,274,2183,13422,14644,944,"[1, 1, 4, 4, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[6.0, 9.0, 9.0, 8.0, 1.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2019_updated,20259,15671,8.249968633504417e-05,139,3063,12535,15532,120,"[1, 1, 0, 3, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[73.0, 12.0, 0, 13.0, 6.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2020_updated,18665,15671,7.600852191340143e-05,218,3445,12141,15579,73,"[1, 1, 1, 2, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[40.0, 10.0, 1.0, 4.0, 5.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2021_updated,20147,15671,8.20435944810768e-05,1053,3460,12124,15345,295,"[1, 1, 2, 3, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[26.0, 9.0, 7.0, 5.0, 6.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
2022_updated,12279,15671,5.000314173986907e-05,305,5991,9547,15646,5,"[1, 1, 0, 0, 1]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']","[5.0, 2.0, 0, 0, 1.0]","['0xfff8bfc248d0236c2372c53756704552a5aff56d', '0xfff57d0aafd555e0741646a6fa92442bfd1ffc19', '0xfff262f6e3e8d3cd7afaeaee30c87af068d19043', '0xffefecfe9590b02d454d9e4070093c3b04e2f222', '0xffecace3e66121b83002cd2ed82f177776d10d60']"
